ID,RainToday
0,0
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,0
283,0
284,0
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,0
346,1
347,0
348,0
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,0
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,1
419,1
420,0
421,0
422,1
423,0
424,1
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,1
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,0
539,0
540,1
541,0
542,0
543,1
544,1
545,1
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,1
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,1
587,1
588,0
589,0
590,0
591,1
592,1
593,1
594,0
595,0
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,1
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,1
621,0
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,0
641,1
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,1
662,1
663,0
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,1
677,0
678,0
679,0
680,0
681,1
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,0
694,1
695,0
696,0
697,1
698,1
699,1
700,1
701,0
702,1
703,1
704,1
705,1
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,1
717,1
718,1
719,1
720,0
721,1
722,1
723,0
724,0
725,0
726,1
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,1
775,0
776,0
777,1
778,0
779,0
780,0
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,1
789,0
790,1
791,0
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,0
801,1
802,1
803,0
804,1
805,0
806,1
807,0
808,1
809,0
810,1
811,0
812,0
813,0
814,1
815,0
816,0
817,0
818,1
819,0
820,1
821,1
822,1
823,1
824,0
825,1
826,0
827,1
828,0
829,0
830,1
831,0
832,1
833,0
834,1
835,0
836,0
837,0
838,1
839,0
840,0
841,1
842,0
843,0
844,1
845,1
846,0
847,0
848,1
849,1
850,0
851,1
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,0
860,0
861,1
862,1
863,1
864,1
865,1
866,0
867,1
868,1
869,0
870,1
871,1
872,0
873,1
874,1
875,0
876,1
877,0
878,1
879,0
880,0
881,1
882,1
883,1
884,1
885,1
886,0
887,0
888,1
889,0
890,0
891,0
892,1
893,1
894,1
895,1
896,0
897,0
898,1
899,1
900,0
901,1
902,1
903,0
904,1
905,1
906,1
907,1
908,0
909,1
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,1
918,0
919,1
920,0
921,1
922,0
923,1
924,0
925,0
926,0
927,1
928,1
929,0
930,0
931,1
932,0
933,1
934,0
935,0
936,1
937,1
938,1
939,0
940,0
941,0
942,1
943,1
944,0
945,0
946,1
947,0
948,0
949,0
950,1
951,0
952,1
953,0
954,1
955,1
956,1
957,1
958,0
959,0
960,0
961,1
962,0
963,1
964,0
965,0
966,1
967,0
968,1
969,0
970,0
971,1
972,0
973,0
974,1
975,1
976,0
977,0
978,0
979,0
980,1
981,0
982,1
983,1
984,0
985,1
986,0
987,1
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,1
998,0
999,1
1000,0
1001,1
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,1
1033,0
1034,0
1035,1
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,1
1045,0
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,0
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,0
